Date,Open,High,Low,Close,Volume,Adj Close
20150921  17:00:00,871.25,872.0,870.5,871.75,695,871.325
20150921  17:01:00,871.5,872.25,871.25,872.0,167,871.925
20150921  17:02:00,871.75,871.75,871.5,871.75,41,871.675
20150921  17:03:00,871.75,871.75,871.5,871.75,21,871.725
20150921  17:04:00,871.75,872.0,871.75,871.75,26,871.75
20150921  17:05:00,871.75,871.75,871.25,871.25,26,871.45
20150921  17:06:00,871.5,871.5,871.0,871.5,84,871.225
20150921  17:07:00,871.25,871.5,871.25,871.25,47,871.325
20150921  17:08:00,871.5,871.5,871.25,871.25,20,871.25
20150921  17:09:00,871.0,871.75,871.0,871.5,92,871.3
20150921  17:10:00,871.25,872.0,871.25,872.0,64,871.825
20150921  17:11:00,872.0,872.25,872.0,872.25,4,872.05
20150921  17:12:00,872.25,872.25,872.25,872.25,15,872.25
20150921  17:13:00,872.25,872.25,872.0,872.25,3,872.175
20150921  17:14:00,872.25,872.25,872.25,872.25,1,872.25
20150921  17:15:00,872.0,872.0,871.75,871.75,23,871.925
20150921  17:16:00,871.75,871.75,871.75,871.75,0,871.75
20150921  17:17:00,871.75,871.75,871.75,871.75,2,871.75
20150921  17:18:00,871.75,871.75,871.75,871.75,7,871.75
20150921  17:19:00,872.0,872.0,871.75,871.75,22,871.775
20150921  17:20:00,871.75,872.0,871.75,872.0,7,871.775
20150921  17:21:00,872.0,872.0,871.75,871.75,43,871.75
20150921  17:22:00,871.75,871.75,871.75,871.75,8,871.75
20150921  17:23:00,872.0,872.0,872.0,872.0,6,872.0
20150921  17:24:00,871.75,871.75,871.75,871.75,1,871.75
20150921  17:25:00,872.0,872.0,872.0,872.0,4,872.0
20150921  17:26:00,872.0,872.25,872.0,872.25,39,872.05
20150921  17:27:00,872.25,872.25,872.0,872.0,7,872.225
20150921  17:28:00,872.0,872.0,872.0,872.0,0,872.0
20150921  17:29:00,872.0,872.0,872.0,872.0,0,872.0
20150921  17:30:00,872.0,872.0,872.0,872.0,0,872.0
20150921  17:31:00,872.0,872.0,872.0,872.0,16,872.0
20150921  17:32:00,872.0,872.0,872.0,872.0,0,872.0
20150921  17:33:00,872.0,872.0,872.0,872.0,0,872.0
20150921  17:34:00,872.0,872.0,872.0,872.0,4,872.0
20150921  17:35:00,871.75,871.75,871.75,871.75,5,871.75
20150921  17:36:00,871.75,871.75,871.75,871.75,0,871.75
20150921  17:37:00,872.0,872.25,872.0,872.25,23,872.025
20150921  17:38:00,872.0,872.0,872.0,872.0,1,872.0
20150921  17:39:00,871.75,871.75,871.75,871.75,2,871.75
20150921  17:40:00,871.75,871.75,871.75,871.75,0,871.75
20150921  17:41:00,871.75,871.75,871.75,871.75,0,871.75
20150921  17:42:00,871.75,871.75,871.75,871.75,0,871.75
20150921  17:43:00,871.75,871.75,871.75,871.75,0,871.75
20150921  17:44:00,871.75,871.75,871.75,871.75,0,871.75
20150921  17:45:00,871.75,871.75,871.75,871.75,1,871.75
20150921  17:46:00,872.0,872.0,872.0,872.0,1,872.0
20150921  17:47:00,872.0,872.0,872.0,872.0,0,872.0
20150921  17:48:00,872.0,872.0,872.0,872.0,0,872.0
20150921  17:49:00,871.75,872.0,871.75,871.75,6,871.925
20150921  17:50:00,871.75,871.75,871.75,871.75,7,871.75
20150921  17:51:00,871.75,871.75,871.75,871.75,4,871.75
20150921  17:52:00,871.75,871.75,871.75,871.75,0,871.75
20150921  17:53:00,871.75,871.75,871.75,871.75,1,871.75
20150921  17:54:00,871.75,871.75,871.75,871.75,0,871.75
20150921  17:55:00,871.75,871.75,871.75,871.75,0,871.75
20150921  17:56:00,871.75,871.75,871.75,871.75,0,871.75
20150921  17:57:00,872.0,872.0,871.5,871.5,26,871.7
20150921  17:58:00,871.5,871.5,871.5,871.5,5,871.5
20150921  17:59:00,871.5,871.5,871.5,871.5,1,871.5
20150921  18:00:00,871.5,871.5,871.5,871.5,9,871.5
20150921  18:01:00,871.75,871.75,871.75,871.75,3,871.75
20150921  18:02:00,871.5,871.5,871.5,871.5,7,871.5
20150921  18:03:00,871.25,871.25,871.0,871.0,20,871.225
20150921  18:04:00,871.25,871.25,871.0,871.0,7,871.15
20150921  18:05:00,871.0,871.0,871.0,871.0,19,871.0
20150921  18:06:00,871.0,871.0,870.75,870.75,73,871.0
20150921  18:07:00,871.0,871.0,871.0,871.0,4,871.0
20150921  18:08:00,871.0,871.0,871.0,871.0,0,871.0
20150921  18:09:00,871.0,871.0,871.0,871.0,35,871.0
20150921  18:10:00,871.0,871.0,870.75,871.0,44,871.0
20150921  18:11:00,871.0,871.0,870.75,871.0,46,871.0
20150921  18:12:00,870.75,871.0,870.5,871.0,122,870.6
20150921  18:13:00,871.0,871.0,871.0,871.0,1,871.0
20150921  18:14:00,871.0,871.0,871.0,871.0,8,871.0
20150921  18:15:00,870.75,870.75,870.5,870.5,39,870.525
20150921  18:16:00,870.5,870.5,870.5,870.5,39,870.5
20150921  18:17:00,870.5,870.5,870.5,870.5,17,870.5
20150921  18:18:00,870.5,870.5,870.0,870.25,78,870.15
20150921  18:19:00,870.25,870.25,870.25,870.25,4,870.25
20150921  18:20:00,870.25,870.25,870.25,870.25,0,870.25
20150921  18:21:00,870.5,870.75,870.5,870.5,12,870.6
20150921  18:22:00,870.75,870.75,870.75,870.75,5,870.75
20150921  18:23:00,870.75,870.75,870.75,870.75,5,870.75
20150921  18:24:00,870.75,871.0,870.75,871.0,21,870.875
20150921  18:25:00,871.0,871.0,870.25,870.5,74,870.675
20150921  18:26:00,870.5,870.5,870.5,870.5,0,870.5
20150921  18:27:00,870.75,870.75,870.75,870.75,3,870.75
20150921  18:28:00,870.75,870.75,870.75,870.75,2,870.75
20150921  18:29:00,870.75,870.75,870.75,870.75,0,870.75
20150921  18:30:00,871.0,871.0,871.0,871.0,5,871.0
20150921  18:31:00,871.0,871.0,870.75,871.0,24,870.875
20150921  18:32:00,870.75,870.75,870.75,870.75,6,870.75
20150921  18:33:00,871.0,871.0,871.0,871.0,12,871.0
20150921  18:34:00,871.0,871.0,870.5,870.5,37,870.625
